CI_Cat,CI_Subcat,WBS,Status,Impact,Urgency,Priority,number_cnt,Category,Alert_Status,No_of_Reassignments,Open_Time,Reopen_Time,Resolved_Time,Close_Time,Handle_Time_hrs,Closure_Code,No_of_Related_Interactions,No_of_Related_Incidents,No_of_Related_Changes,Resolution_Time_hrs
application,Web Based Application,WBS000073,Closed,4,4,4.0,0.791229465,incident,closed,5.0,2013-08-12 14:42:00,2013-10-01 16:21:00,2013-10-03 11:06:00,2013-10-03 11:06:00,3954094444,Other,1.0,1.0,1.0,1244.4
application,Server Based Application,WBS000043,Closed,NS,3,4.0,0.283418566,incident,closed,2.0,2013-08-12 14:51:00,2013-10-01 16:21:00,2013-10-03 11:18:00,2013-10-03 11:18:00,3954561111,Other,1.0,1.0,1.0,1244.45
subapplication,Web Based Application,WBS000073,Closed,4,4,4.0,0.673315404,incident,closed,4.0,2013-09-02 15:09:00,2013-10-01 16:21:00,2013-10-07 14:21:00,2013-10-07 14:22:00,2617047222,Software,1.0,1.0,1.0,839.2166666666667
application,Server Based Application,WBS000296,Closed,5,5,5.0,0.506816922,request for information,closed,0.0,2013-09-02 13:43:00,2013-10-01 16:21:00,2013-10-08 14:29:00,2013-10-08 14:29:00,2227333333,Other,1.0,1.0,1.0,864.7666666666667
subapplication,Web Based Application,WBS000162,Closed,4,4,4.0,0.656846672,incident,closed,3.0,2013-09-03 14:52:00,2013-10-01 16:21:00,2013-10-11 10:44:00,2013-10-11 10:44:00,2898594444,Software,1.0,1.0,1.0,907.8666666666667
application,Desktop Application,WBS000092,Closed,4,4,4.0,0.490494742,incident,closed,0.0,2013-09-03 16:54:00,2013-10-01 16:21:00,2013-10-01 09:29:00,2013-10-01 09:29:00,3605388889,Other,1.0,1.0,1.0,664.5833333333334
application,Web Based Application,WBS000088,Closed,4,4,4.0,0.396389539,incident,closed,6.0,2013-09-03 16:43:00,2013-10-01 16:21:00,2013-10-03 10:03:00,2013-10-03 10:04:00,2243433333,Unknown,1.0,1.0,1.0,713.35
application,SAP,WBS000271,Closed,5,5,5.0,0.565903818,request for information,closed,4.0,2013-09-04 10:16:00,2013-10-01 16:21:00,2013-10-10 13:46:00,2013-10-10 13:46:00,276505,Other,1.0,1.0,1.0,867.5
subapplication,Web Based Application,WBS000073,Closed,4,4,4.0,0.380121785,incident,closed,7.0,2013-09-04 15:42:00,,2013-10-07 13:25:00,2013-10-07 13:25:00,6255833333,User manual not used,2.0,1.0,1.0,789.7166666666667
application,Server Based Application,WBS000072,Closed,5,5,5.0,0.494040603,request for information,closed,0.0,2013-09-05 12:17:00,2013-10-07 11:53:00,2013-10-10 08:02:00,2013-10-10 08:02:00,3082361111,Other,2.0,1.0,1.0,835.75
application,Web Based Application,WBS000025,Closed,5,5,5.0,0.9342567,request for information,closed,1.0,2013-09-05 11:51:00,2013-10-01 16:21:00,2013-10-07 12:36:00,2013-10-07 12:37:00,23177,Other,1.0,1.0,1.0,768.7666666666667
subapplication,Web Based Application,WBS000162,Closed,4,4,4.0,0.622047836,incident,closed,4.0,2013-09-05 11:57:00,2013-10-01 16:21:00,2013-10-01 07:47:00,2013-10-01 07:47:00,1848297222,No error - works as designed,1.0,1.0,1.0,619.8333333333334
